configuracao,n_grama,rank,ngram_text,frequencia
no_stopwords_no_lemmas,3,6,empirical methods natural,14
no_stopwords_no_lemmas,3,7,methods natural language,14
no_stopwords_no_lemmas,3,8,language resources evaluation,12
no_stopwords_no_lemmas,3,9,construções interrogativas qu,12
no_stopwords_no_lemmas,3,10,bases dados verbais,11
no_stopwords_no_lemmas,3,11,international conference language,10
no_stopwords_no_lemmas,3,12,conference language resources,10
no_stopwords_no_lemmas,3,13,linguagem natural pln,10
no_stopwords_no_lemmas,3,14,fala leitura voz,10
no_stopwords_no_lemmas,3,15,letras universidade federal,10
no_stopwords_lemmas,1,1,poder,318
no_stopwords_lemmas,1,2,corpus,314
no_stopwords_lemmas,1,3,construção,289
no_stopwords_lemmas,1,4,dado,281
no_stopwords_lemmas,1,5,ter,275
no_stopwords_lemmas,1,6,apresentar,270
no_stopwords_lemmas,1,7,palavra,260
no_stopwords_lemmas,1,8,modelo,239
no_stopwords_lemmas,1,9,utilizar,236
no_stopwords_lemmas,1,10,forma,233
no_stopwords_lemmas,1,11,texto,233
no_stopwords_lemmas,1,12,português,213
no_stopwords_lemmas,1,13,análise,210
no_stopwords_lemmas,1,14,verbo,201
no_stopwords_lemmas,1,15,outro,199
no_stopwords_lemmas,2,1,base dado,48
no_stopwords_lemmas,2,2,português brasileiro,45
no_stopwords_lemmas,2,3,international conference,40
no_stopwords_lemmas,2,4,natural language,37
no_stopwords_lemmas,2,5,computational linguistics,36
no_stopwords_lemmas,2,6,universidade federal,34
no_stopwords_lemmas,2,7,universal dependencies,34
no_stopwords_lemmas,2,8,language processing,32
no_stopwords_lemmas,2,9,língua português,28
no_stopwords_lemmas,2,10,conjunto dado,26
no_stopwords_lemmas,2,11,question answering,26
no_stopwords_lemmas,2,12,verbo falar,26
no_stopwords_lemmas,2,13,linguagem natural,25
no_stopwords_lemmas,2,14,fake news,25
no_stopwords_lemmas,2,15,classe gramatical,24
no_stopwords_lemmas,3,1,natural language processing,30
no_stopwords_lemmas,3,2,association computational linguistics,23
no_stopwords_lemmas,3,3,leitura voz alto,23
no_stopwords_lemmas,3,4,processamento linguagem natural,18
no_stopwords_lemmas,3,5,conference empirical methods,14
no_stopwords_lemmas,3,6,empirical methods natural,14
no_stopwords_lemmas,3,7,methods natural language,14
no_stopwords_lemmas,3,8,freitag resposta kom,13
no_stopwords_lemmas,3,9,language resources evaluation,12
no_stopwords_lemmas,3,10,construção transitiva indireta,12
no_stopwords_lemmas,3,11,international conference language,10
no_stopwords_lemmas,3,12,conference language resources,10
no_stopwords_lemmas,3,13,linguagem natural pln,10
no_stopwords_lemmas,3,14,falar leitura voz,10
no_stopwords_lemmas,3,15,letras universidade federal,10
